Alabama,240
Alaska,240
Arizona,960
Arkansas,240
California,6480
Colorado,2400
Connecticut,720
Delaware,480
District of Columbia,480
Florida,3360
Georgia,2400
Guam,240
Hawaii,480
Idaho,240
Illinois,1200
Indiana,2160
Iowa,720
Kansas,480
Kentucky,960
Louisiana,720
Maine,240
Maryland,960
Massachusetts,1680
Michigan,720
Minnesota,1200
Mississippi,240
Missouri,480
Montana,240
Nebraska,720
Nevada,720
New Hampshire,720
New Jersey,2160
New Mexico,720
New York,1920
North Carolina,960
North Dakota,240
Ohio,720
Oklahoma,480
Oregon,2400
Pennsylvania,1680
Puerto Rico,240
Rhode Island,480
South Carolina,1200
South Dakota,1680
Tennessee,1200
Texas,1920
Utah,960
Vermont,480
Virgin Islands,240
Virginia,1680
Washington,3120
West Virginia,240
Wisconsin,720
Wyoming,240
